Project,Asset URL,Buy Date,Price,Gas,Sell Date,Sell Price,Notes
https://www.artblocks.io/project/185,https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/185000016,"October 19, 2021",0.3 ETH,0.02 ETH,,,Only 30% sold during the sell period. Have to wait for the entire project to sell out before there's a chance of reselling on OpenSea. I should have watched the momentum closer.
https://www.artblocks.io/project/180,,,,,,,"This one sold out quickly. While watching the momentum the assets were being bought with 20+ jumps per 5/seconds. With only 256 total it sold out within 20 minutes, the majority of assets being sold at 1 ETH"
,,,,,,,
,,,,,,,
,,,,,,,
